Product,Manufacturing_Date,Initial_Shelf_Life,Storage_Temperature,Storage_Humidity,Days_in_Transit,Remaining_Shelf_Life
Juice,2023-06-15,57,9.9,56.9,4,48.1
Cheese,2023-01-07,34,7.3,66.1,9,16.5
Cheese,2023-05-13,57,7.2,55.3,7,44.5
Yogurt,2023-02-14,49,2.5,45.7,2,73.0
Bread,2023-02-27,11,9.0,67.6,9,6.0
Bread,2023-01-31,11,9.9,48.5,4,10.3
Juice,2023-01-23,36,4.7,65.2,8,26.1
Yogurt,2023-06-19,38,7.5,69.7,7,24.3
Cheese,2023-05-18,14,8.1,56.2,7,16.6
Bread,2023-06-09,16,9.8,71.8,8,11.1
Yogurt,2023-04-17,44,8.0,64.8,1,45.3
Bread,2023-06-07,53,3.1,53.0,5,61.2
Bread,2023-02-08,38,6.4,74.0,2,36.5
Cheese,2023-06-08,54,8.7,48.6,2,60.1
Milk,2023-03-23,34,10.5,56.2,1,32.5
Juice,2023-04-10,23,6.1,57.9,5,23.0
Juice,2023-01-02,37,14.6,66.1,2,23.5
Cheese,2023-03-18,14,2.3,71.2,4,16.8
Bread,2023-01-12,46,6.3,70.5,3,46.7
Yogurt,2023-02-08,31,7.8,62.2,3,33.4
Bread,2023-01-13,15,7.4,57.2,2,15.3
Cheese,2023-02-15,8,4.3,41.7,6,9.8
Juice,2023-06-04,21,9.3,46.9,2,25.0
Bread,2023-04-23,56,9.1,77.7,8,27.4
Juice,2023-01-17,9,8.1,41.6,8,5.3
Yogurt,2023-04-14,55,9.0,52.2,5,51.7
Juice,2023-04-08,42,6.7,71.4,7,29.0
Juice,2023-03-29,10,3.1,62.1,4,12.6
Milk,2023-04-19,20,5.9,69.3,1,21.2
Milk,2023-06-12,47,8.5,65.4,2,43.9
Milk,2023-03-11,47,8.5,74.7,4,35.2
Juice,2023-06-07,31,8.1,63.0,1,33.9
Cheese,2023-03-15,56,9.6,66.6,8,29.1
Juice,2023-03-04,16,6.3,52.8,9,10.8
Cheese,2023-06-05,27,8.1,65.9,4,20.1
Cheese,2023-03-01,42,9.7,56.0,3,37.7
Milk,2023-03-20,18,7.7,55.5,2,21.8
Bread,2023-02-06,33,4.3,68.9,5,31.8
Yogurt,2023-01-22,46,5.1,69.0,3,47.1
Milk,2023-05-28,8,10.5,76.9,7,2.2
Milk,2023-04-06,19,12.2,76.2,6,7.9
Bread,2023-03-09,59,11.5,69.2,1,49.6
Yogurt,2023-01-17,38,8.7,42.8,8,29.2
Juice,2023-01-12,37,4.4,78.3,2,40.0
Juice,2023-05-30,22,8.0,69.2,5,16.2
Milk,2023-05-25,38,12.7,52.3,9,15.9
Yogurt,2023-05-18,38,9.9,67.3,8,21.3
Milk,2023-04-28,40,7.4,49.6,2,47.0
Cheese,2023-01-22,17,9.9,66.2,9,7.3
Milk,2023-04-30,16,4.2,46.8,5,21.2
Milk,2023-02-19,21,5.9,51.9,6,21.5
Juice,2023-01-14,23,4.7,67.1,3,25.2
Juice,2023-06-24,46,9.4,70.7,3,35.7
Juice,2023-01-29,24,10.1,63.3,8,13.9
Cheese,2023-06-13,15,7.5,57.1,2,19.1
Juice,2023-06-29,31,5.4,38.9,2,44.6
Yogurt,2023-05-05,46,7.9,57.9,5,43.3
Bread,2023-01-07,20,6.5,65.3,6,18.7
Yogurt,2023-01-29,31,5.6,56.8,2,41.7
Yogurt,2023-05-19,56,9.0,59.8,5,46.5
Juice,2023-02-02,28,5.7,58.1,7,24.1
Bread,2023-05-14,58,3.3,56.8,8,50.9
Bread,2023-04-21,36,4.0,60.8,7,31.7
Bread,2023-03-20,26,3.2,57.3,8,20.5
Cheese,2023-06-09,27,8.7,74.4,9,12.0
Juice,2023-06-28,50,8.5,37.9,5,51.7
Bread,2023-02-27,38,8.3,54.5,5,31.4
Cheese,2023-01-26,57,9.8,51.3,4,52.1
Milk,2023-06-23,52,11.6,62.2,9,26.4
Milk,2023-01-29,55,6.2,60.8,5,46.8
Cheese,2023-01-04,27,9.2,76.2,2,25.8
Cheese,2023-04-09,41,3.3,79.5,8,28.7
Juice,2023-05-21,38,12.1,52.3,7,22.5
Juice,2023-02-08,36,4.3,60.0,8,28.8
Milk,2023-01-15,45,5.9,62.0,3,48.7
Bread,2023-04-29,55,6.2,52.0,4,62.7
Milk,2023-01-29,18,3.4,66.3,5,19.8
Bread,2023-06-06,47,8.1,57.6,6,35.0
Bread,2023-03-16,53,8.6,49.3,1,66.1
Juice,2023-04-26,24,7.4,57.2,4,23.2
Yogurt,2023-02-01,27,3.4,50.0,5,31.6
Yogurt,2023-05-10,19,14.0,70.4,7,7.1
Cheese,2023-06-24,27,9.6,79.0,5,20.8
Juice,2023-03-25,14,15.9,62.4,1,11.5
Bread,2023-01-22,52,5.6,61.1,7,40.0
Yogurt,2023-01-27,46,10.9,61.5,8,22.5
Bread,2023-03-22,52,10.3,71.8,7,28.5
Yogurt,2023-05-06,13,7.1,71.6,4,12.0
Yogurt,2023-04-02,29,12.2,58.8,8,15.6
Yogurt,2023-01-21,50,6.8,62.5,5,46.9
Juice,2023-02-16,38,6.9,66.5,9,23.3
Milk,2023-04-11,17,-2.4,48.6,5,26.7
Bread,2023-03-25,28,9.2,72.1,1,27.0
Juice,2023-01-06,28,4.0,77.3,9,13.3
Juice,2023-05-27,49,6.3,71.7,5,40.0
Juice,2023-05-11,31,4.9,47.5,6,33.9
Juice,2023-01-01,28,6.9,40.3,4,32.8
Juice,2023-02-27,34,9.3,67.1,6,24.3
Cheese,2023-05-04,35,8.0,52.4,8,23.8
Bread,2023-06-15,19,10.1,62.9,3,14.5
Juice,2023-01-15,24,11.8,75.4,5,13.9
Bread,2023-06-11,8,6.9,53.4,2,10.2
Cheese,2023-06-12,35,6.6,56.2,2,40.3
Cheese,2023-03-05,27,10.9,62.8,7,15.7
Bread,2023-01-25,21,11.1,47.0,6,14.0
Yogurt,2023-01-24,58,10.2,52.4,4,53.9
Milk,2023-01-12,33,5.1,60.2,5,31.8
Yogurt,2023-01-18,56,9.3,57.0,1,64.4
Yogurt,2023-01-15,37,8.3,66.1,7,27.7
Yogurt,2023-01-27,21,11.2,87.7,8,8.1
Juice,2023-03-13,57,6.3,61.0,9,33.5
Cheese,2023-03-01,29,3.0,51.6,8,21.4
Yogurt,2023-06-23,30,10.1,74.2,5,16.9
Cheese,2023-05-25,50,0.3,44.1,3,77.5
Bread,2023-04-03,19,5.8,46.1,9,16.7
Milk,2023-02-22,28,4.9,54.0,6,27.3
Bread,2023-01-08,49,4.9,57.2,5,50.8
Bread,2023-03-20,43,5.8,53.8,3,46.2
Juice,2023-01-27,39,11.7,59.7,6,22.8
Milk,2023-06-23,9,10.5,62.7,3,9.4
Bread,2023-02-19,25,7.2,70.7,6,18.9
Bread,2023-05-11,29,11.4,60.9,4,21.9
Milk,2023-04-03,35,4.8,54.4,2,47.0
Milk,2023-06-21,36,4.4,70.1,8,28.1
Bread,2023-01-24,45,10.6,51.8,4,39.0
Milk,2023-03-01,50,9.7,43.7,9,31.0
Bread,2023-05-02,53,6.6,72.1,7,36.3
Bread,2023-05-11,31,4.6,71.4,2,39.2
Juice,2023-05-28,43,12.4,52.1,4,29.5
Yogurt,2023-02-15,53,2.8,56.0,5,61.1
Bread,2023-01-15,14,6.2,50.8,3,16.4
Cheese,2023-06-02,48,8.7,63.3,9,27.1
Yogurt,2023-01-17,22,13.4,77.3,5,10.1
Yogurt,2023-05-06,14,9.1,67.0,2,13.1
Yogurt,2023-03-25,7,9.4,70.4,3,7.3
Juice,2023-01-09,50,6.3,68.2,9,35.1
Bread,2023-06-15,11,9.7,60.0,7,8.9
Juice,2023-06-25,9,8.3,70.8,2,6.8
Bread,2023-03-04,7,3.2,67.5,9,3.8
Juice,2023-04-27,10,10.4,74.4,4,6.1
Juice,2023-05-10,46,10.9,55.4,9,20.3
Cheese,2023-03-29,41,10.4,42.6,2,44.7
Juice,2023-03-13,38,8.1,70.5,4,32.9
Milk,2023-05-19,48,5.1,63.5,5,43.1
Cheese,2023-03-05,40,1.1,57.0,2,61.4
Juice,2023-03-13,49,8.5,57.6,1,56.7
Yogurt,2023-01-21,31,11.2,85.5,7,12.5
Milk,2023-01-18,16,11.0,53.6,1,16.2
Milk,2023-03-05,27,10.4,51.5,8,20.0
Milk,2023-03-23,52,7.8,60.9,3,53.5
Cheese,2023-04-20,45,11.3,71.8,6,26.2
Juice,2023-04-05,33,10.8,82.8,7,15.3
Juice,2023-06-15,33,6.7,66.6,1,37.6
Yogurt,2023-02-01,8,10.0,47.3,6,5.4
Yogurt,2023-01-11,47,6.4,79.7,7,25.1
Milk,2023-02-14,54,9.6,59.8,6,43.4
Yogurt,2023-02-02,19,4.1,51.6,4,23.2
Cheese,2023-04-12,15,4.3,49.2,1,23.2
Juice,2023-06-18,58,11.2,68.4,9,25.8
Milk,2023-05-16,42,10.8,62.4,4,31.3
Yogurt,2023-01-11,28,9.9,63.5,7,17.2
Cheese,2023-06-28,48,8.3,72.9,7,26.5
Cheese,2023-03-29,32,0.8,52.0,2,54.8
Yogurt,2023-02-10,18,7.8,73.7,1,15.4
Juice,2023-05-25,23,9.4,54.8,8,12.6
Yogurt,2023-03-17,20,6.4,81.6,8,10.1
Milk,2023-05-01,20,5.9,66.0,7,17.5
Yogurt,2023-02-15,40,12.3,50.8,8,22.3
Cheese,2023-06-09,59,7.8,39.7,3,69.2
Yogurt,2023-03-21,26,9.4,68.1,2,26.3
Juice,2023-02-23,17,10.3,56.3,7,12.7
Bread,2023-03-27,22,5.0,58.4,8,17.8
Yogurt,2023-04-02,57,8.6,67.7,1,59.6
Juice,2023-05-28,37,12.0,70.1,9,20.2
Juice,2023-06-10,12,13.5,72.2,4,11.5
Cheese,2023-06-17,25,8.1,48.3,4,24.5
Juice,2023-06-09,43,7.3,74.3,3,41.4
Juice,2023-04-07,10,8.8,54.2,6,8.8
Juice,2023-01-02,53,8.7,37.4,1,72.5
Juice,2023-02-02,10,12.2,48.2,6,3.6
Milk,2023-06-07,26,5.0,62.2,2,30.9
Milk,2023-06-10,16,7.2,50.2,9,9.0
Cheese,2023-03-18,30,4.6,59.1,2,39.6
Yogurt,2023-04-26,41,5.0,63.4,7,34.9
Juice,2023-06-03,32,9.1,58.2,1,30.9
Yogurt,2023-05-30,43,10.4,55.1,7,28.5
Yogurt,2023-04-13,44,6.1,47.5,5,48.9
Cheese,2023-06-15,27,10.3,60.2,8,15.1
Juice,2023-04-13,46,11.3,39.4,4,44.5
Juice,2023-03-31,45,13.8,53.1,7,25.3
Bread,2023-06-23,27,8.2,50.7,6,23.8
Yogurt,2023-05-02,16,6.1,57.6,5,14.9
Yogurt,2023-05-23,44,5.0,57.9,4,45.6
Milk,2023-04-16,52,4.7,69.6,7,37.2
Bread,2023-04-29,10,11.7,75.8,5,7.3
Milk,2023-06-21,51,3.5,48.8,5,59.8
Milk,2023-02-18,26,11.7,79.9,1,19.1
Milk,2023-04-14,23,5.4,52.2,2,29.1
Cheese,2023-03-02,13,5.9,61.7,5,11.5
Cheese,2023-05-03,10,7.5,65.1,3,11.8
Milk,2023-05-14,35,5.9,84.4,2,30.6
Bread,2023-01-09,20,10.8,54.6,4,14.2
Yogurt,2023-01-06,9,13.4,42.0,4,8.7
Bread,2023-03-14,30,6.0,74.9,4,25.7
Juice,2023-04-13,43,6.7,51.7,4,46.2
Cheese,2023-06-09,22,7.5,56.4,3,26.6
Yogurt,2023-02-10,58,9.6,48.8,7,42.7
Yogurt,2023-04-24,10,7.5,56.4,9,6.7
Juice,2023-01-08,30,12.2,51.6,5,19.7
Juice,2023-03-13,40,11.4,66.8,4,28.3
Milk,2023-06-27,36,4.4,60.8,2,46.3
Cheese,2023-04-02,24,9.6,53.2,2,22.1
Cheese,2023-03-03,25,12.6,70.0,5,15.3
Bread,2023-03-25,37,6.5,62.5,7,28.1
Milk,2023-03-03,25,7.1,41.5,9,18.0
Milk,2023-04-21,55,6.4,69.2,7,40.9
Milk,2023-05-07,52,6.5,61.8,5,47.9
Milk,2023-01-07,25,3.0,73.9,6,24.2
Cheese,2023-03-25,28,4.0,61.2,3,31.2
Cheese,2023-05-12,30,8.2,52.1,5,27.8
Milk,2023-05-14,51,12.5,58.0,8,26.4
Bread,2023-02-27,18,6.2,68.0,1,18.4
Yogurt,2023-01-22,36,6.1,52.3,1,50.3
Yogurt,2023-06-03,44,13.1,55.6,7,29.3
Bread,2023-05-07,59,4.7,57.8,5,60.4
Milk,2023-01-03,37,3.0,48.5,5,45.4
Cheese,2023-05-07,42,5.5,52.4,1,58.1
Yogurt,2023-02-10,25,6.0,61.7,9,14.3
Juice,2023-04-16,54,2.8,72.0,1,64.6
Juice,2023-01-14,51,7.6,63.2,5,41.9
Bread,2023-01-12,42,10.8,59.5,9,18.3
Milk,2023-03-28,36,4.1,51.7,4,46.7
Yogurt,2023-01-12,55,8.3,71.0,8,31.1
Milk,2023-05-21,39,9.2,64.3,6,27.0
Yogurt,2023-01-25,24,7.7,52.9,3,27.9
Bread,2023-02-14,58,8.6,69.0,4,45.4
Bread,2023-05-02,55,8.6,65.6,2,52.4
Juice,2023-05-27,34,5.6,51.9,1,47.1
Milk,2023-02-24,53,12.5,59.0,8,29.0
Juice,2023-04-10,17,11.7,55.1,1,17.6
Milk,2023-06-22,51,11.6,86.3,1,35.6
Juice,2023-05-16,39,11.0,65.3,4,29.4
Cheese,2023-04-29,23,3.3,61.9,6,22.8
Cheese,2023-02-22,12,10.8,64.7,9,6.1
Cheese,2023-02-01,10,10.0,73.8,1,6.8
Cheese,2023-02-20,26,3.4,59.2,7,23.3
Yogurt,2023-02-13,54,7.4,54.1,5,48.5
Cheese,2023-03-23,53,8.8,68.4,8,30.5
Bread,2023-05-26,33,13.0,58.3,7,17.2
Bread,2023-05-30,21,10.2,49.3,4,24.3
Yogurt,2023-02-06,12,5.4,47.4,4,14.1
Cheese,2023-04-06,53,13.1,75.3,6,23.6
Cheese,2023-02-25,20,8.1,61.3,6,15.2
Cheese,2023-04-15,17,7.2,54.1,9,11.9
Juice,2023-02-28,45,7.0,57.7,5,44.9
Milk,2023-05-11,15,3.1,68.1,8,10.0
Juice,2023-06-05,32,7.7,57.1,5,25.6
Milk,2023-02-04,22,9.5,45.5,2,26.6
Cheese,2023-04-03,11,6.8,63.3,6,6.1
Cheese,2023-04-07,58,9.3,72.1,9,26.8
Juice,2023-05-15,16,5.4,71.4,3,15.5
Juice,2023-03-17,56,7.6,54.4,1,68.6
Milk,2023-02-18,9,8.9,72.7,1,9.9
Bread,2023-04-04,19,8.6,62.1,3,16.7
Milk,2023-06-08,49,3.2,72.4,5,45.2
Juice,2023-01-24,55,6.7,65.7,3,55.2
Juice,2023-05-28,36,13.0,44.8,9,18.3
Yogurt,2023-02-06,51,6.5,77.5,8,29.6
Juice,2023-01-04,12,8.0,60.5,3,12.8
Yogurt,2023-04-18,23,7.7,65.8,9,14.4
Bread,2023-05-06,51,12.7,46.6,6,35.7
Milk,2023-01-20,57,11.9,65.1,7,32.3
Milk,2023-06-01,59,10.4,71.0,4,39.8
Yogurt,2023-02-19,25,5.1,79.4,4,21.6
Milk,2023-06-26,48,9.1,74.0,2,42.7
Juice,2023-06-28,41,9.7,65.5,5,31.9
Cheese,2023-04-06,52,5.9,44.6,8,41.7
Yogurt,2023-04-15,32,5.4,61.3,7,24.4
Milk,2023-06-13,57,13.1,54.1,7,31.2
Yogurt,2023-04-27,11,7.1,62.3,6,9.9
Yogurt,2023-04-08,35,12.8,47.8,3,31.9
Cheese,2023-03-07,43,11.0,57.9,5,31.3
Juice,2023-03-20,26,9.2,54.8,1,31.1
Yogurt,2023-06-11,55,9.4,54.5,7,39.1
Milk,2023-06-13,27,3.8,54.6,9,19.7
Bread,2023-01-06,16,8.6,58.6,1,17.5
Yogurt,2023-02-08,11,12.3,62.9,2,10.5
Yogurt,2023-06-19,42,10.0,35.0,3,47.9
Cheese,2023-04-25,12,8.5,36.2,3,19.0
Juice,2023-05-05,32,13.1,56.6,8,14.3
Bread,2023-01-12,10,7.4,58.0,7,8.6
Milk,2023-05-11,45,6.1,61.9,6,37.1
Bread,2023-01-18,45,8.5,52.7,4,42.0
Milk,2023-02-09,56,10.3,60.1,9,28.7
Juice,2023-01-21,41,2.8,61.3,1,58.4
Milk,2023-05-23,7,8.9,52.7,2,13.5
Cheese,2023-04-09,30,10.4,70.1,4,21.7
Cheese,2023-01-26,42,7.2,61.8,3,40.6
Cheese,2023-01-08,12,11.3,65.5,1,11.3
Cheese,2023-04-10,47,9.9,60.7,5,32.2
Bread,2023-03-28,52,14.4,81.0,7,19.9
Juice,2023-02-11,50,5.7,66.0,2,56.1
Milk,2023-06-21,37,10.5,55.1,5,30.8
Milk,2023-01-14,26,4.9,68.2,6,23.7
Cheese,2023-03-19,30,3.2,43.6,7,30.2
Cheese,2023-01-02,31,1.9,61.2,1,45.3
Yogurt,2023-04-29,42,9.6,63.2,7,25.4
Juice,2023-02-06,27,8.6,61.3,4,21.8
Bread,2023-03-10,36,6.6,56.7,8,26.5
Milk,2023-06-15,30,2.7,49.9,4,36.3
Yogurt,2023-02-10,50,5.9,52.1,6,46.3
Yogurt,2023-03-03,48,8.0,61.0,9,25.6
Milk,2023-03-01,36,10.4,48.9,5,31.4
Bread,2023-05-05,28,8.0,77.7,4,25.0
Yogurt,2023-04-21,34,8.8,33.6,8,24.2
Yogurt,2023-01-14,13,6.9,56.8,9,4.5
Juice,2023-03-25,41,13.2,61.1,4,27.7
Bread,2023-05-10,34,4.9,65.1,3,37.3
Yogurt,2023-03-11,20,5.9,50.8,8,16.1
Bread,2023-05-25,16,6.5,71.3,5,12.2
Milk,2023-05-03,22,9.6,46.1,2,24.3
Cheese,2023-03-30,22,4.9,54.3,9,16.3
Yogurt,2023-01-28,37,8.4,66.2,3,36.1
Juice,2023-03-07,48,8.5,70.4,2,41.0
Milk,2023-06-12,31,5.9,46.0,1,43.8
Bread,2023-01-05,19,9.0,86.5,8,9.1
Milk,2023-06-17,12,5.0,51.0,3,13.2
Yogurt,2023-06-13,50,4.6,46.9,7,51.1
Bread,2023-02-14,15,8.3,65.0,1,14.7
Cheese,2023-05-31,51,3.0,56.5,1,75.1
Milk,2023-02-16,42,1.6,55.0,9,34.9
Yogurt,2023-01-31,49,9.6,66.0,8,26.4
Juice,2023-05-19,26,11.1,44.7,3,21.6
Bread,2023-01-10,24,6.6,43.0,6,22.9
Milk,2023-04-28,49,6.0,54.0,3,59.2
Milk,2023-01-14,27,11.0,70.8,4,18.4
Cheese,2023-03-21,10,4.6,54.5,1,12.4
Cheese,2023-04-03,56,3.9,76.0,5,50.6
Juice,2023-01-10,39,10.1,72.0,1,34.4
Juice,2023-03-17,33,8.0,62.8,1,35.5
Yogurt,2023-04-04,13,11.2,63.4,7,7.9
Yogurt,2023-04-15,12,1.6,62.8,6,13.7
Juice,2023-01-01,21,3.8,61.6,2,31.5
Juice,2023-05-13,24,8.0,56.3,2,28.3
Bread,2023-01-20,38,9.3,57.5,7,28.5
Cheese,2023-01-08,17,10.5,49.3,1,17.8
Yogurt,2023-06-20,26,8.5,37.9,2,31.1
Cheese,2023-01-01,30,8.5,71.0,8,17.0
Cheese,2023-02-26,21,6.8,61.6,6,17.5
Juice,2023-03-05,54,12.8,60.1,2,41.7
Bread,2023-04-28,13,4.7,64.0,7,10.1
Milk,2023-01-28,27,9.1,51.7,4,26.5
Bread,2023-05-01,48,5.0,50.0,2,65.7
Bread,2023-04-17,32,9.6,57.2,6,24.9
Cheese,2023-06-14,50,4.9,73.7,9,29.5
Bread,2023-06-24,20,10.2,48.3,9,10.5
Yogurt,2023-06-14,43,8.3,33.7,8,33.7
Cheese,2023-02-18,27,13.2,54.8,3,18.6
Yogurt,2023-04-30,24,7.2,71.4,3,25.7
Milk,2023-02-13,11,9.3,42.7,2,12.9
Cheese,2023-02-25,9,5.7,48.2,5,9.2
Milk,2023-06-05,29,7.1,62.6,4,25.6
Cheese,2023-04-21,32,8.3,85.7,7,22.7
Juice,2023-05-14,43,3.4,46.4,4,53.7
Bread,2023-04-18,30,3.7,46.0,9,23.2
Juice,2023-05-28,55,9.8,63.4,2,52.6
Milk,2023-04-24,25,7.6,72.0,6,18.9
Bread,2023-03-19,57,6.2,53.8,7,49.4
Cheese,2023-05-10,31,5.8,43.8,4,40.8
Bread,2023-02-06,27,5.9,64.3,6,23.6
Yogurt,2023-01-20,18,8.3,66.1,7,9.9
Bread,2023-01-26,47,9.3,77.8,4,33.1
Yogurt,2023-01-29,39,1.7,66.6,8,31.8
Bread,2023-01-01,56,12.2,68.3,9,27.7
Yogurt,2023-04-29,59,12.0,57.4,1,52.4
Milk,2023-02-04,10,1.0,84.4,7,9.8
Juice,2023-02-28,48,11.3,56.0,9,24.5
Cheese,2023-03-10,13,11.2,53.9,5,11.6
Bread,2023-06-10,28,8.0,78.1,2,24.3
Juice,2023-06-28,39,4.1,45.3,6,40.5
Cheese,2023-01-12,23,11.0,41.5,7,18.2
Cheese,2023-01-20,30,7.3,61.2,2,34.1
Yogurt,2023-02-12,40,9.6,60.0,2,41.3
Milk,2023-05-06,34,14.7,57.7,1,26.3
Milk,2023-02-19,49,8.8,69.9,4,38.2
Juice,2023-01-29,47,5.2,50.9,7,39.0
Milk,2023-02-08,45,7.0,60.6,9,28.9
Bread,2023-06-20,28,5.6,56.4,3,33.3
Milk,2023-06-27,55,9.3,51.1,7,38.4
Juice,2023-05-31,23,5.6,59.4,7,17.6
Milk,2023-06-21,40,6.6,68.5,7,27.3
Bread,2023-02-07,12,4.1,81.2,2,9.1
Yogurt,2023-03-25,52,7.6,65.8,6,37.8
Juice,2023-05-31,12,8.5,34.9,2,13.4
Yogurt,2023-05-08,40,-0.1,59.6,6,43.8
Yogurt,2023-05-06,7,8.8,60.5,3,5.2
Yogurt,2023-02-14,16,7.9,69.4,2,12.3
Cheese,2023-02-21,27,5.7,61.8,6,27.4
Cheese,2023-03-21,11,14.1,72.5,2,9.7
Yogurt,2023-06-27,8,10.9,63.9,5,4.1
Juice,2023-05-04,28,4.7,75.6,2,30.0
Bread,2023-04-29,54,10.5,55.6,3,50.2
Bread,2023-01-08,8,11.7,61.4,3,8.8
Milk,2023-03-26,16,8.4,68.3,6,9.7
Juice,2023-05-09,40,9.1,54.3,6,33.7
Cheese,2023-01-08,22,9.0,52.1,3,21.5
Yogurt,2023-06-06,54,1.7,53.7,3,72.8
Milk,2023-04-06,57,7.4,52.5,1,73.4
Bread,2023-04-12,45,7.3,65.2,7,34.4
Cheese,2023-01-05,28,12.3,41.7,8,22.1
Cheese,2023-03-27,18,9.0,44.4,2,18.8
Yogurt,2023-06-24,30,7.1,78.6,4,25.1
Bread,2023-02-03,53,7.7,52.7,7,40.7
Juice,2023-02-24,46,11.1,62.0,8,26.3
Cheese,2023-04-29,44,7.4,45.1,1,56.4
Yogurt,2023-06-20,16,5.9,60.9,4,13.8
Juice,2023-06-07,41,7.2,52.8,6,34.6
Bread,2023-04-24,57,10.8,44.4,3,56.8
Cheese,2023-05-25,55,9.5,73.4,5,36.6
Juice,2023-01-26,38,8.1,71.8,9,20.7
Juice,2023-05-16,13,8.6,58.9,3,14.8
Juice,2023-02-16,27,6.3,70.0,5,23.9
Cheese,2023-04-23,26,7.4,79.0,8,17.3
Cheese,2023-03-17,32,6.0,67.5,6,26.6
Milk,2023-03-13,10,7.1,64.8,4,6.8
Bread,2023-03-30,52,12.0,62.0,8,29.2
Yogurt,2023-02-15,58,4.8,66.5,3,61.7
Juice,2023-02-02,28,5.9,56.4,3,33.9
Milk,2023-01-01,21,4.2,57.2,4,27.0
Yogurt,2023-05-27,46,3.6,64.5,9,32.0
Milk,2023-01-31,27,7.4,55.3,5,22.0
Cheese,2023-05-22,21,6.1,56.3,8,13.7
Juice,2023-02-22,28,13.3,60.0,6,18.9
Yogurt,2023-02-17,58,7.2,71.5,3,53.0
Yogurt,2023-03-10,34,11.9,48.7,8,20.0
Yogurt,2023-04-15,20,10.9,67.6,9,10.7
Yogurt,2023-03-31,33,7.4,67.9,8,21.7
Yogurt,2023-03-04,47,14.3,67.9,4,28.1
Milk,2023-03-14,46,8.8,51.9,6,37.3
Juice,2023-06-10,34,12.5,43.1,1,34.5
Cheese,2023-06-18,32,12.2,65.6,4,23.9
Cheese,2023-03-30,55,9.2,61.9,8,34.1
Cheese,2023-06-25,8,10.3,70.0,1,6.7
Cheese,2023-01-13,31,9.9,53.0,3,32.2
Milk,2023-03-14,9,4.6,67.6,1,10.8
Bread,2023-03-18,14,8.2,70.5,9,5.5
Juice,2023-06-08,50,11.2,59.0,2,43.9
Yogurt,2023-03-09,39,12.6,64.2,9,14.7
Bread,2023-04-08,48,5.8,63.8,4,47.1
Cheese,2023-05-05,58,9.6,51.8,2,64.2
Bread,2023-04-12,41,8.5,65.3,4,33.6
Juice,2023-05-12,12,7.6,76.2,6,8.5
Yogurt,2023-04-12,45,9.1,60.2,7,29.2
Yogurt,2023-01-19,58,8.7,45.4,3,63.6
Juice,2023-03-23,29,9.6,53.1,3,25.5
Juice,2023-05-21,31,12.3,42.2,8,18.2
Cheese,2023-01-23,56,10.4,72.9,5,36.5
Yogurt,2023-03-24,49,8.9,67.6,4,41.3
Bread,2023-04-19,25,13.6,55.0,7,14.1
Milk,2023-03-16,11,11.3,45.8,7,5.2
Milk,2023-05-09,57,7.7,51.7,9,38.5
Juice,2023-03-29,17,4.3,53.6,9,12.9
Cheese,2023-02-23,18,5.0,61.1,5,18.0
Milk,2023-03-30,16,10.8,60.8,8,8.9
Yogurt,2023-05-23,14,6.1,73.4,1,14.1
Juice,2023-03-06,30,5.0,53.1,9,21.8
Bread,2023-03-17,34,5.7,44.9,8,29.3
Juice,2023-05-23,47,5.9,48.4,6,42.3
Bread,2023-05-29,42,10.6,59.8,3,35.5
Juice,2023-05-27,43,7.5,52.7,3,46.8
Juice,2023-03-01,27,3.9,57.1,8,22.3
Juice,2023-04-03,14,8.1,55.5,5,14.9
Bread,2023-06-10,15,8.7,69.9,7,7.8
Bread,2023-02-18,53,6.6,54.1,5,50.7
Juice,2023-02-04,21,11.5,56.2,8,10.7
Milk,2023-06-21,54,6.7,67.2,4,48.0
Cheese,2023-04-12,52,11.3,54.4,2,48.4
Cheese,2023-01-11,46,9.8,64.2,3,41.6
Cheese,2023-04-09,24,10.8,63.3,8,10.9
Bread,2023-04-20,48,4.7,61.4,7,40.6
Bread,2023-03-15,26,8.3,48.7,2,27.1
Milk,2023-06-23,12,7.8,72.3,6,7.3
Cheese,2023-01-09,18,3.7,82.2,9,9.2
Cheese,2023-01-03,8,11.3,60.1,4,9.6
Juice,2023-03-26,13,5.5,49.5,9,8.8
Bread,2023-01-26,22,6.2,60.3,2,21.2
Cheese,2023-03-13,9,5.0,69.9,2,6.0
Milk,2023-02-17,51,10.1,53.8,9,28.2
Milk,2023-06-05,9,3.4,58.7,7,9.3
Cheese,2023-04-27,33,9.9,63.4,7,21.5
Bread,2023-06-03,56,11.1,72.0,1,47.8
Milk,2023-06-02,49,9.6,67.8,6,35.2
Juice,2023-01-12,46,10.1,68.2,7,26.1
Milk,2023-05-13,44,10.3,55.7,6,33.9
Yogurt,2023-02-17,39,5.2,64.0,6,30.5
Yogurt,2023-02-06,34,12.3,52.8,2,28.8
Bread,2023-02-13,7,6.6,68.5,6,1.8
Cheese,2023-01-15,14,7.8,71.5,4,11.1
